Ref,Val,Package,PosX,PosY,Rot,Side
"C175","100n","C_0402_1005Metric",168.185000,-82.200000,180.000000,bottom
"C185","470n","C_0402_1005Metric",168.700000,-68.300000,180.000000,bottom
"C186","470n","C_0402_1005Metric",163.400000,-68.700000,270.000000,bottom
"C187","470n","C_0402_1005Metric",161.800000,-67.800000,270.000000,bottom
"C188","470n","C_0402_1005Metric",159.800000,-68.400000,180.000000,bottom
"C189","470n","C_0402_1005Metric",168.700000,-79.300000,180.000000,bottom
"C190","470n","C_0402_1005Metric",160.600000,-79.200000,180.000000,bottom
"C191","470n","C_0402_1005Metric",160.300000,-84.200000,90.000000,bottom
"C192","470n","C_0402_1005Metric",171.100000,-61.800000,0.000000,bottom
"C193","470n","C_0402_1005Metric",159.200000,-79.715000,90.000000,bottom
"C194","470n","C_0402_1005Metric",159.500000,-62.200000,90.000000,bottom
"C195","470n","C_0402_1005Metric",168.700000,-61.800000,180.000000,bottom
"C196","470n","C_0402_1005Metric",162.700000,-79.700000,270.000000,bottom
"C197","470n","C_0402_1005Metric",159.900000,-85.700000,0.000000,bottom
"C198","470n","C_0402_1005Metric",161.900000,-85.200000,90.000000,bottom
"C199","470n","C_0402_1005Metric",171.100000,-68.300000,0.000000,bottom
"C200","470n","C_0402_1005Metric",166.300000,-67.300000,180.000000,bottom
"C201","100n","C_0402_1005Metric",168.300000,-63.200000,270.000000,bottom
"C202","100n","C_0402_1005Metric",165.500000,-77.390000,180.000000,bottom
"C203","470n","C_0402_1005Metric",168.700000,-85.700000,180.000000,bottom
"C204","470n","C_0402_1005Metric",163.700000,-86.900000,0.000000,bottom
"C205","470n","C_0402_1005Metric",161.900000,-62.200000,270.000000,bottom
"C206","470n","C_0402_1005Metric",171.000000,-85.700000,0.000000,bottom
"C207","100n","C_0402_1005Metric",165.710000,-69.500000,0.000000,bottom
"C208","100n","C_0402_1005Metric",164.700000,-85.700000,180.000000,bottom
"C209","470n","C_0402_1005Metric",171.100000,-79.300000,0.000000,bottom
"C210","470n","C_0402_1005Metric",164.600000,-61.800000,180.000000,bottom
"C211","470n","C_0402_1005Metric",166.400000,-62.800000,180.000000,bottom
"C212","470n","C_0402_1005Metric",160.300000,-67.000000,90.000000,bottom
"C213","100n","C_0402_1005Metric",133.600000,-71.200000,180.000000,bottom
"C214","100n","C_0402_1005Metric",131.550000,-63.500000,90.000000,bottom
"C215","470n","C_0402_1005Metric",128.800000,-68.100000,180.000000,bottom
"C216","470n","C_0402_1005Metric",129.700000,-71.350000,0.000000,bottom
"C217","470n","C_0402_1005Metric",129.000000,-69.200000,180.000000,bottom
"C218","470n","C_0402_1005Metric",129.000000,-70.400000,180.000000,bottom
"C219","4.7µ","C_0603_1608Metric",142.500000,-74.500000,270.000000,bottom
"C220","4.7µ","C_0603_1608Metric",87.650532,-32.494995,180.000000,bottom
"C222","4.7µ","C_0603_1608Metric",87.650532,-34.544995,180.000000,bottom
"C224","470n","C_0402_1005Metric",129.700000,-72.300000,0.000000,bottom
"C225","470n","C_0402_1005Metric",171.115000,-69.400000,0.000000,bottom
"C226","470n","C_0402_1005Metric",129.700000,-73.700000,0.000000,bottom
"C227","470n","C_0402_1005Metric",128.785000,-66.200000,180.000000,bottom
"C228","4.7µ","C_0603_1608Metric",144.462500,-53.000000,0.000000,bottom
"C229","470n","C_0402_1005Metric",117.800000,-71.950000,90.000000,bottom
"C230","470n","C_0402_1005Metric",119.200000,-73.750000,0.000000,bottom
"C231","470n","C_0402_1005Metric",118.350000,-70.400000,180.000000,bottom
"C232","470n","C_0402_1005Metric",119.200000,-71.800000,0.000000,bottom
"C233","4.7µ","C_0603_1608Metric",104.440000,-74.830000,180.000000,bottom
"C234","470n","C_0402_1005Metric",124.100000,-64.300000,90.000000,bottom
"C235","470n","C_0402_1005Metric",119.800000,-64.700000,180.000000,bottom
"C236","470n","C_0402_1005Metric",123.150000,-64.300000,90.000000,bottom
"C237","470n","C_0402_1005Metric",118.350000,-68.150000,180.000000,bottom
"C238","470n","C_0402_1005Metric",119.800000,-63.750000,180.000000,bottom
"C239","470n","C_0402_1005Metric",117.185000,-67.200000,180.000000,bottom
"C240","4.7µ","C_0603_1608Metric",120.400000,-54.400000,90.000000,bottom
"C241","470n","C_0402_1005Metric",118.350000,-69.100000,180.000000,bottom
"C242","470n","C_0402_1005Metric",118.200000,-66.200000,180.000000,bottom
"C243","4.7µ","C_0603_1608Metric",104.750000,-68.750000,270.000000,bottom
"C244","470n","C_0402_1005Metric",128.200000,-63.800000,0.000000,bottom
"C245","470n","C_0402_1005Metric",125.050000,-64.300000,90.000000,bottom
"C246","470n","C_0402_1005Metric",122.200000,-64.300000,90.000000,bottom
"C247","470n","C_0402_1005Metric",129.700000,-75.600000,0.000000,bottom
"C248","470n","C_0402_1005Metric",128.215000,-64.800000,0.000000,bottom
"C249","470n","C_0402_1005Metric",129.700000,-74.650000,0.000000,bottom
"C250","4.7µ","C_0603_1608Metric",118.800000,-54.400000,90.000000,bottom
"C252","470n","C_0402_1005Metric",129.715000,-76.600000,0.000000,bottom
"C254","470n","C_0402_1005Metric",118.700000,-75.800000,270.000000,bottom
"C255","10µ","C_0805_2012Metric",132.500000,-45.500000,90.000000,bottom
"C257","470n","C_0402_1005Metric",233.750000,-59.000000,90.000000,bottom
"C260","4.7µ","C_0603_1608Metric",68.000000,-67.750000,180.000000,bottom
"FB1","200R@100MHz","L_0603_1608Metric",162.900000,-100.950000,270.000000,bottom
"FB4","100R","L_0603_1608Metric",63.400000,-100.712500,270.000000,bottom
"FB5","100R","L_0603_1608Metric",58.600000,-87.000000,270.000000,bottom
"FB6","100R","L_0603_1608Metric",58.600000,-90.487500,90.000000,bottom
"FB7","100R","L_0603_1608Metric",80.987500,-107.100000,0.000000,bottom
"FB8","100R","L_0603_1608Metric",90.012500,-98.800000,180.000000,bottom
"FB9","100R","L_0603_1608Metric",80.812500,-111.400000,0.000000,bottom
"J13","Micro_SD_Card","microSD_HC_Hirose_DM3AT-SF-PEJM5",135.250000,-33.000000,0.000000,bottom
"L12","Ferrite_Bead","L_0603_1608Metric",55.800000,-49.700000,270.000000,bottom
"L13","Ferrite_Bead","L_0603_1608Metric",55.800000,-52.800000,90.000000,bottom
"R1","10k","R_0402_1005Metric",223.000000,-68.500000,0.000000,bottom
"R36","22","R_0402_1005Metric",55.715000,-56.300000,180.000000,bottom
"R37","22","R_0402_1005Metric",56.300000,-61.400000,180.000000,bottom
"R38","2.2k","R_0402_1005Metric",63.100000,-50.300000,0.000000,bottom
"R39","12k","R_0402_1005Metric",60.800000,-52.100000,0.000000,bottom
"R40","10k","R_0402_1005Metric",58.115000,-55.800000,180.000000,bottom
"R42","0R","R_0805_2012Metric",87.900000,-45.200000,90.000000,bottom
"R43","0R","R_0805_2012Metric",85.400000,-45.200000,90.000000,bottom
"R44","0R","R_0805_2012Metric",90.500000,-45.162500,90.000000,bottom
"R45","0R","R_0805_2012Metric",82.900000,-45.200000,90.000000,bottom
"R53","10k","R_0402_1005Metric",226.765000,-62.750000,0.000000,bottom
"R54","10k","R_0402_1005Metric",231.015000,-62.750000,180.000000,bottom
"R69","10k","R_0402_1005Metric",69.700000,-78.200000,90.000000,bottom
"R75","51","R_0402_1005Metric",166.750000,-81.400000,90.000000,bottom
"R76","51","R_0402_1005Metric",165.750000,-81.400000,270.000000,bottom
"R80","240","R_0402_1005Metric",168.000000,-60.860000,0.000000,bottom
"R81","240","R_0402_1005Metric",168.200000,-78.300000,0.000000,bottom
"R82","0R","R_0805_2012Metric",91.650532,-32.494995,0.000000,bottom
"R83","DNP","R_0805_2012Metric",91.650532,-34.494995,0.000000,bottom
"R84","DNP","R_0805_2012Metric",91.650532,-36.494995,0.000000,bottom
"R96","10k","R_0402_1005Metric",129.485000,-44.500000,0.000000,bottom
"RN2","10k","R_Array_Convex_4x0402",63.100000,-41.900000,90.000000,bottom
"RN3","10k","R_Array_Convex_4x0402",67.550000,-44.000000,90.000000,bottom
"RN7","2.2k","R_Array_Convex_4x0402",165.000000,-42.750000,90.000000,bottom
"RN8","10k","R_Array_Convex_4x0402",164.000000,-30.000000,270.000000,bottom
"RN9","10k","R_Array_Convex_4x0402",158.750000,-30.000000,270.000000,bottom
"RN11","2.2k","R_Array_Convex_4x0402",157.900000,-44.100000,90.000000,bottom
"RN12","10k","R_Array_Convex_4x0402",192.500000,-57.000000,90.000000,bottom
"RN13","2.2k","R_Array_Convex_4x0402",177.000000,-40.000000,270.000000,bottom
"RN14","2.2k","R_Array_Convex_4x0402",175.900000,-44.000000,270.000000,bottom
"RN15","2.2k","R_Array_Convex_4x0402",170.000000,-40.000000,270.000000,bottom
"RN23","10k","R_Array_Convex_4x0402",113.650000,-86.000000,90.000000,bottom
"RN24","10k","R_Array_Convex_4x0402",135.500000,-45.500000,90.000000,bottom
"U11","CBTL02043A","WQFN-20-1EP_2.5x4.5mm_P0.5mm_EP1x2.9mm",230.000000,-59.000000,90.000000,bottom
"U12","93AA46B_OT","SOT-23-6",63.100000,-47.300000,90.000000,bottom
"X1","12MHz","Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm",56.375000,-58.975000,180.000000,bottom
"C1","1µ","C_0603_1608Metric",171.300000,-107.050000,270.000000,top
"C2","100µF/25V","CP_Elec_6.3x5.8",205.500000,-114.000000,270.000000,top
"C3","10µ","C_0805_2012Metric",205.500000,-99.500000,90.000000,top
"C4","10µ","C_0805_2012Metric",203.000000,-99.500000,90.000000,top
"C5","10µ","C_0805_2012Metric",166.000000,-101.112500,270.000000,top
"C6","22µ/25V","C_1206_3216Metric",224.000000,-102.000000,0.000000,top
"C7","100n","C_0402_1005Metric",203.500000,-103.000000,0.000000,top
"C8","100n/25V","C_0805_2012Metric",223.500000,-95.500000,0.000000,top
"C9","1.8n","C_0402_1005Metric",185.000000,-106.000000,90.000000,top
"C10","1µ","C_0603_1608Metric",171.300000,-101.050000,270.000000,top
"C11","180p","C_0402_1005Metric",183.500000,-106.000000,90.000000,top
"C12","750p","C_0402_1005Metric",186.500000,-103.500000,270.000000,top
"C13","47µ","C_1210_3225Metric",218.000000,-93.250000,0.000000,top
"C14","10µ","C_0805_2012Metric",165.300000,-107.112500,270.000000,top
"C15","10µ","C_0805_2012Metric",197.000000,-70.000000,270.000000,top
"C16","10µ","C_0805_2012Metric",211.000000,-81.500000,270.000000,top
"C17","10µ","C_0805_2012Metric",197.000000,-81.500000,270.000000,top
"C18","10µ","C_0805_2012Metric",211.000000,-70.000000,270.000000,top
"C19","120p","C_0402_1005Metric",191.500000,-69.500000,0.000000,top
"C20","120p","C_0402_1005Metric",205.515000,-82.000000,0.000000,top
"C21","120p","C_0402_1005Metric",191.485000,-81.000000,0.000000,top
"C22","120p","C_0402_1005Metric",205.500000,-69.500000,0.000000,top
"C23","10µ","C_0805_2012Metric",190.000000,-73.000000,90.000000,top
"C24","10µ","C_0805_2012Metric",202.000000,-84.500000,90.000000,top
"C25","10µ","C_0805_2012Metric",190.000000,-84.500000,90.000000,top
"C26","10µ","C_0805_2012Metric",204.000000,-73.000000,90.000000,top
